Statute:,Crime:,Class:
§ 14-205.2(d),Patronizing a prostitute (mentally disabled prostitute),D
§ 14-205.3(a),Promoting prostitution,F
§ 14-205.3(a),Promoting prostitution (person with certain related priors),E
§ 14-205.3(b)(1),Promoting prostitution,D
§ 14-205.3(b)(2),Promoting prostitution,D
§ 14-205.3(b)(3),Promoting prostitution,C
§ 14-208.1,Promoting travel for unlawful sexual conduct,G
§ 14-208.9A(c),Verification of registration information,1
§ 14-208.11(a),Failure to register; falsification of verification notice; failure to return verification form; order for arrest,F
§ 14-208.11A,Duty to report noncompliance of a sex offender; penalty for failure to report in certain circumstances,H
§ 14-208.16,Residential restrictions (apropos sex offenders),G
§ 14-208.17,Sexual predator prohibited from working or volunteering for child-involved activities; limitation on residential use,F
§ 14-208.18,Sex offender unlawfully on premises,H
§ 14-208.44(a),Failure to enroll; tampering with device (satellite-based monitoring of sex offenders),F
§ 14-208.44(b),Failure to enroll; tampering with device (satellite-based monitoring of sex offenders),E
§ 14-208.44©,Failure to enroll; tampering with device (satellite-based monitoring of sex offenders),1
§ 14-209,Punishment for perjury,F
§ 14-210,Subornation of perjury,I
§ 14-211,Perjury before legislative committees,I
§ 14-217,Bribery of officials,F
§ 14-218,Offering bribes,F
§ 14-220,Bribery of jurors,F
§ 14-221,Breaking or entering jails with intent to injure prisoners,F
§ 14-221.1,"Altering, destroying, or stealing evidence of criminal conduct",I
§ 14-221.2,Altering court documents or entering unauthorized judgments,H
§ 14-223,Resisting officers,2
§ 14-225(a),False reports to law enforcement agencies or officers,2
§ 14-225(b),False reports to law enforcement agencies or officers,H
§ 14-225.1,Picketing or parading,1
§ 14-225.2(a)(1),Harassment of and communication with jurors,H
§ 14-225.2(a)(2),Harassment of and communication with jurors,I
§ 14-226,Intimidating or interfering with witnesses,G
§ 14-226.1,Violating orders of court,3
§ 14-226.2,Harassment of participant in neighborhood crime watch program,1
§ 14-226.3,Interference with electronic monitoring devices (sentence depends on the charges faced),x
§ 14-227,Failing to attend as witness before legislative committees,3
§ 14-227.1,Secret listening to conference between prisoner and his attorney,2
§ 14-227.2,Secret listening to deliberations of grand or petit jury,2
§ 14-228,Buying and selling offices,I
§ 14-229,Acting as officer before qualifying as such,1
§ 14-230,Willfully failing to discharge duties,1
§ 14-231,Failing to make reports and discharge other duties,1
§ 14-232,Swearing falsely to official reports,1
§ 14-233,Making of false report by bank examiners; accepting bribes,I
§ 14-234,Public officers or employees benefiting from public contracts,1
§ 14-234.1,Misuse of confidential information,1
§ 14-238,Soliciting during school hours without permission of school head,2
§ 14-239,Allowing prisoners to escape,1
§ 14-241,Disposing of public documents or refusing to deliver them over to successor,1
§ 14-242,Failing to return process or making false return,1
§ 14-243,Failing to surrender tax list for inspection and correction,1
§ 14-244,Failing to file report of fines or penalties,1
§ 14-246,"Failure of ex-magistrate to turn over books, paper, and money",1
§ 14-247,Private use of publicly owned vehicle,2
§ 14-248,Obtaining repairs and supplies for private vehicle at expense of State,2
§ 14-253,Failure of certain railroad officers to account with successors,I
§ 14-254,Malfeasance of corporation officers and agents,H
§ 14-255,Escape of working prisoners from custody,1
§ 14-256,Prison breach and escape from county or municipal confinement facilities or officers,1
§ 14-256(1),Prison breach and escape from county or municipal confinement facilities or officers (Pending Felony Charges),H
§ 14-256(2),Prison breach and escape from county or municipal confinement facilities or officers (Incarcerated for Felony),H
§ 14-256.1,Escape from private correctional facility,H
§ 14-258(a),Providing forbidden articles or tools for escape; possessing tools for escape (D gives x to inmate and escape fails),H
§ 14-258(b),Providing forbidden articles or tools for escape; possessing tools for escape (escape succeeds),F
§ 14-258(c),Providing forbidden articles or tools for escape; possessing tools for escape (inmate possesses items for escape),H
§ 14-258.1(a),Furnishing … contraband to … inmates or delinquent juveniles (weapons and drugs to inmates),H
§ 14-258.1(b),Furnishing … contraband to … inmates or delinquent juveniles (give/sell ETOH to inmates),1
§ 14-258.1(c),Furnishing … contraband to … inmates or delinquent juveniles (give/sell tobacco to inmates),1
§ 14-258.1(d),Furnishing … contraband to … inmates or delinquent juveniles (give/sell cell or communication device to inmates),H
§ 14-258.1(e),Furnishing … contraband to … inmates or delinquent juveniles (inmate has tobacco),1
§ 14-258.1(g),Furnishing … contraband to … inmates or delinquent juveniles (inmate has cell or comm device),H
§ 14-258.2(a),Possession of dangerous weapon in prison (but not used for anything),H
§ 14-258.2(a),Possession of dangerous weapon in prison (used to inflict bodily injury or effect escape),F
§ 14-258.2(b),Possession of dangerous weapon in prison (helping prisoner get the item used in assault or escape),H
§ 14-258.3,"Taking of hostage, etc., by prisoner",F
§ 14-258.4(a),Malicious conduct by prisoner (fluids or excrement -> officer),F
§ 14-258.4(b),Malicious conduct by prisoner (flashing genitals -> officer),I
§ 14-259,Harboring or aiding certain persons (harboring misdemeanor offenders),1
§ 14-259,Harboring or aiding certain persons (harboring felon offenders),I
§ 14-266,Persuading inmates to escape.,1
§ 14-267,Harboring fugitives,1
§ 14-269(a),Carrying concealed weapons (first offense),1
§ 14-269(a1),Carrying concealed weapons (first offense),1
§ 14-269(a),Carrying concealed weapons (subsequent offense),H
§ 14-269(a1),Carrying concealed weapons (subsequent offense),H
§ 14-269.2(b),Weapons on campus or other educational property (possession of firearm—not BB or pellet gun),I
§ 14-269.2(b),Weapons on campus or other educational property (discharging of firearm—not BB or pellet gun),F
§ 14-269.2(b1),Weapons on campus or other educational property (possession of explosives),G
§ 14-269.2(c),Weapons on campus or other educational property (aid or encourage juvenile to be armed with firearm),I
§ 14-269.2(c1),Weapons on campus or other educational property (aid or encourage juvenile to have explosive),G
§ 14-269.2(d),Weapons on campus or other educational property (possession of weapon other than firearm or explosive),1
§ 14-269.2(e),Weapons on campus or other educational property (aid or encourage juvenile to have weapon other than firearm or explosive),1
§ 14-269.2(f),Weapons on campus or other educational property (non-student and non-teacher with limitations),1
§ 14-269.3,Carrying weapons into assemblies and establishments where alcoholic beverages are sold and consumed,1
§ 14-269.4,Weapons on certain State property and in courthouses.,1
§ 14-269.6,Possession and sale of spring-loaded projectile knives prohibited,1
§ 14-269.7,Prohibitions on handguns for minors,1
§ 14-269.8,Purchase or possession of firearms by person subject to domestic violence order prohibited,H
§ 14-275.1,Disorderly conduct at bus or railroad station or airport,3
§ 14-276.1,Impersonation of firemen or emergency medical services personnel.,3
§ 14-277(a)(1-3),Impersonation of a law-enforcement or other public officer (verbal or with badge/uniform or red lights on vehicle),1
§ 14-277(a)(4),Impersonation of a law-enforcement or other public officer (using blue lights on car in PVA),I
§ 14-277(b)(1-4),Impersonation of a law-enforcement or other public officer (exercise authority for various acts),1
§ 14-277(b)(5),Impersonation of a law-enforcement or other public officer (exercise authority by stopping someone with blue lights),H
§ 14-277(e),Impersonation of a law-enforcement or other public officer (gaining ingress into closed establishment),1
§ 14-277.1,Communicating threats,1
§ 14-277.2,"Weapons at parades, etc., prohibited",1
§ 14-277.3A,Stalking (first offense),A1
§ 14-277.3A,Stalking (subsequent offense),F
§ 14-277.3A,Stalking (in violation of court order),H
§ 14-277.4(a-b),Obstruction of health care facilities (first offense),2
§ 14-277.4(a-b),Obstruction of health care facilities (second offense within 3 years),1
§ 14-277.4(a-b),Obstruction of health care facilities (third or subsequent offense within 3 years),1
§ 14-277.4A,Targeted picketing of a residence,2
§ 14-277.5,Making a false report concerning mass violence on educational property,H
§ 14-277.6,Communicating a threat of mass violence on educational property,H
§ 14-277.7,Communicating a threat of mass violence at a place of religious worship,H
§ 14-278. ,Willful injury to property of railroads,I
§ 14-279. ,Unlawful injury to property of railroads,2
§ 14-279.1. ,Unlawful impairment of operation of railroads,2
§ 14-280. ,Shooting or throwing at trains or passengers.,I
§ 14-280.1. ,Trespassing on railroad right-of-way.,3
§ 14-280.2. ,Use of a laser device towards an aircraft.,H
§ 14-280.3. ,Interference with manned aircraft by unmanned aircraft systems.,H
§ 14-281. ,Operating trains and streetcars while intoxicated.,2
§ 14-281.1. ,"Throwing, dropping, etc., objects at sporting events.",3
§ 14-282. ,Displaying false lights on seashore.,I
§ 14-283. ,Exploding dynamite cartridges and bombs.,1
§ 14-284. ,Keeping for sale or selling explosives without a license.,1
§ 14-284.1. ,Regulation of sale of explosives; reports; storage.,2
§ 14-284.2. ,Dumping of toxic substances.,F
§ 14-286. ,"Giving false fire alarms; molesting fire-alarm, fire-detection or fire-extinguishing system. (NOT IN a confinement facility/prison)",2
§ 14-286. ,"Giving false fire alarms; molesting fire-alarm, fire-detection or fire-extinguishing system. (IN a confinement facility/prison)",H
§ 14-286.1. ,Making false ambulance request.,3
§ 14-286.2. ,Interfering with emergency communication.,A1
§ 14-287. ,Leaving unused well open and exposed.,2
§ 14-288. ,Unlawful to pollute any bottles used for beverages.,3
§ 14-288.2(b),"Riot, etc. (willfully engaging in riot)",1
§ 14-288.2(c),"Riot, etc. (riot causes $1500 damage, serious bodily injury, or defendant had dangerous weapon or substance)",H
§ 14-288.2(b),"Riot, etc. (inciting others to participate in riot)",1
§ 14-288.2(c),"Riot, etc. (Inciting a riot causing $1500 damage or serious bodily injury)",F
§ 14-288.4 ,Disorderly conduct.,2
§ 14-288.4 ,Disorderly conduct. (at funeral or memorial—first offense),1
§ 14-288.4 ,Disorderly conduct. (at funeral or memorial—second offense),I
§ 14-288.4 ,Disorderly conduct. (at funeral or memorial—third or subsequent offense),H
§ 14-288.5 ,Failure to disperse when commanded a misdemeanor,2
§ 14-288.6 ,Looting; trespass during emergency. (trespass to property),1
§ 14-288.6,Looting; trespass during emergency. (looting or destroying property),H
§ 14-288.8 ,Manufacture … weapon of mass death and destruction,F
§ 14-288.9 ,Assault on emergency personnel (causing injury),I
§ 14-288.9 ,Assault on emergency personnel (with dangerous weapon),F
§ 14-288.20. ,Certain weapons at civil disorders.,H
§ 14-288.20A. ,Violation of emergency prohibitions and restrictions.,2
§ 14-288.21,"Unlawful manufacture, assembly… of a nuclear, biological, or chemical weapon",B1
§ 14-288.22(a),"Unlawful use of a nuclear, biological, or chemical weapon of mass destruction (use of weapon)",A
§ 14-288.22(b),"Unlawful use of a nuclear, biological, or chemical weapon of mass destruction (soliciting or conspiring)",B1
§ 14-288.22(b),"Unlawful use of a nuclear, biological, or chemical weapon of mass destruction (putting NBC in mail/package)",B1
§ 14-288.23,"Making a false report concerning a nuclear, biological, or chemical weapon of mass destruction",D
§ 14-288.24,"Perpetrating hoax by use of false nuclear, biological, or chemical weapon of mass destruction",D
§ 14-289,Advertising lotteries.,2
§ 14-290 ,Dealing in lotteries.,2
§ 14-291 ,Selling lottery tickets and acting as agent for lotteries.,2
§ 14-291.1,"Selling ""numbers"" tickets",2
§ 14-291.2 ,Pyramid and chain schemes prohibited. (running a pyramid scheme),H
§ 14-291.2,Pyramid and chain schemes prohibited. (promoting a pyramid scheme),H
§ 14-292 ,Gambling,2
§ 14-293 ,Allowing gambling in houses of public entertainment,2
§ 14-294,Gambling with faro banks and tables,2
§ 14-295,"Keeping gaming tables, illegal punchboards or slot machines, or betting thereat",2
§ 14-297,"Allowing gaming tables, illegal punchboards or slot machines on premises.",2
§ 14-300,Opposing destruction of gaming tables and seizure of property,2
§ 14-301 ,Operation or possession of slot machine,2
§ 14-302,"Punchboards, vending machines, and other gambling devices",2
§ 14-304,"Manufacture, sale, etc., of slot machines and devices (first offense)",1
§ 14-304,"Manufacture, sale, etc., of slot machines and devices (second offense)",1
§ 14-304,"Manufacture, sale, etc., of slot machines and devices (third offense)",1
§ 14-305 ,Agreements with reference to slot machines or devices made unlawful (first offense),1
§ 14-305 ,Agreements with reference to slot machines or devices made unlawful (second offense),H
§ 14-305 ,Agreements with reference to slot machines or devices made unlawful (third or subsequent offense),G
§ 14-306.3,Certain game promotions unlawful (first offense),1
§ 14-306.3,Certain game promotions unlawful (second offense),H
§ 14-306.3,Certain game promotions unlawful (third or subsequent offense),G
§ 14-306.3(b),Certain game promotions unlawful (if there are 5 or more machines),G
§ 14-306.4,Electronic machines and devices for sweepstakes prohibited (first offense),1
§ 14-306.4,Electronic machines and devices for sweepstakes prohibited (second offense),H
§ 14-306.4,Electronic machines and devices for sweepstakes prohibited (third or subsequent offense),G
§ 14-309.5,Bingo (violation by licensed organization),2
§ 14-309.5,"Bingo (violation without license, w license suspended/revoked, misapplying funds, or providing consulting services)",I
§ 14-309.11,Accounting and use of proceeds (false info in audits of bingo games),2
§ 14-309.14(1),Beach bingo (offering prize between 10 and 50 dollars),2
§ 14-309.14(1),Beach bingo (offering prize of 50 dollars or more),I
§ 14-309.14(2),Beach bingo (promotional prizes),I
§ 14-309.14(5),Beach bingo (without license or false info on audit),2
§ 14-309.15,Raffles.,2
§ 14-309.20,Greyhound racing prohibited.,1
§ 14-309.26,Game nights.,2
§ 14-309.34,Applicability to employer paid events (game nights),2
§ 14-309.35,"Registration, possession, and transportation of gaming equipment.",1
§ 14-313(b),Youth access to tobacco products etc (helping minors acquire etc),2
§ 14-313(b),Youth access to tobacco products etc (failure to post sign at store),2
§ 14-313(b1),Youth access to tobacco products etc (failure to demand proof of age),2
§ 14-313(c),"Youth access to tobacco products etc (buying under age, fake ID)",2
§ 14-313(d),Youth access to tobacco products etc (sending or assisting underage person to buy),2
§ 14-315(a),Selling or giving weapons to minors (most weapons other than handguns),1
§ 14-315(a1),Selling or giving weapons to minors (handgun),H
§ 14-315.1,Storage of firearms to protect minors (failure to secure weapon with minor),1
§ 14-315.2,Warning upon sale or transfer of firearm to protect minor (failure to post sign or give literature),1
§ 14-316,Permitting young children to use dangerous firearms (allowing unsupervised use under 12),2
§ 14-316.1,Contributing to delinquency and neglect by parents and others.,1
§ 14-317,Permitting minors to enter barrooms or billiard rooms.,3
§ 14-318,Exposing children to fire (leaving child under 8 locked with fire without supervision),1
§ 14-318.1,Discarding or abandoning iceboxes (failure to remove hinges when disposing of icebox),1
§ 14-318.2,Child abuse a misdemeanor.,A1
§ 14-318.4(a),Child abuse a felony (intentional and with serious physical injury to child under 16 when on is parent or caretaker),D
§ 14-318.4(a1),Child abuse a felony (prostitution of child under 16 when one is parent),D
§ 14-318.4(a2),Child abuse a felony (permitting sex act upon child under 16 when one is parent or guardian),D
§ 14-318.4(a3),Child abuse a felony (intentional cause of serious bodily injury or permanent emotional/mental problem by parent or supervisory),B2
§ 14-318.4(a4),Child abuse a felony (gross negligence or willful act with serious bodily injury),E
§ 14-318.4(a5),Child abuse a felony (gross negligence or willful act with serious physical injury),G
§ 14-318.5(b) ,Failure to report the disappearance of a child to law enforcement (parent or caretaker of child under 16),I
§ 14-318.5(c) ,Failure to report the disappearance of a child to law enforcement (any person who suspects child is missing and in danger and fails to report),1
§ 14-320.1 ,Transporting child outside the State with intent to violate custody order,I
§ 14-321,Failing to pay minors for doing certain work,3
§ 14-321.1,Prohibit baby sitting service by sex offender or in the home of a sex offender (first offense),1
§ 14-321.1,Prohibit baby sitting service by sex offender or in the home of a sex offender (second or subsequent offense),H
§ 14-321.2,Prohibit unlawful transfer of custody of minor child,A1
§ 14-321.2,Prohibit unlawful transfer of custody of minor child (causing serious physical injury),G
§ 14-322,Abandonment and failure to support spouse and children (first offense),2
§ 14-322,Abandonment and failure to support spouse and children (subsequent to first offense),2
§ 14-322.1,Abandonment of child or children for six months (attempt to conceal whereabouts),I
§ 14-326.1,Parents; failure to support (first offense),2
§ 14-326.1,Parents; failure to support (subsequent to first offense),1
§ 14-329(a),"Manufacturing, trafficking in, transporting, or possessing poisonous alcoholic beverages. (Making poisonous beverages)",H
§ 14-329(b),"Manufacturing, trafficking in, transporting, or possessing poisonous alcoholic beverages.",F
§ 14-329(c),"Manufacturing, trafficking in, transporting, or possessing poisonous alcoholic beverages",2
§ 14-329(d),"Manufacturing, trafficking in, transporting, or possessing poisonous alcoholic beverages",1
§ 14-342,Selling or offering to sell meat of diseased animals.,1
§ 14-343,Unauthorized dealing in railroad tickets,2
§ 14-344,Sale of admission tickets in excess of printed price,2
§ 14-346,Sale of convict-made goods prohibited,2
§ 14-353,Influencing agents and servants in violating duties owed employers,2
§ 14-355,Blacklisting employees,3
§ 14-358,Local: Violation of certain contracts between landlord and tenant (stiffing a landlord on advance),3
§ 14-359,Local: Tenant neglecting crop; landlord failing to make advances; harboring or employing delinquent tenant,3
§ 14-360(a),Cruelty to animals; construction of section,1
§ 14-360(a1),Cruelty to animals; construction of section (attempt/kill by starvation),H
§ 14-360(b),Cruelty to animals; construction of section (various malicious acts to animal),H
§ 14-361,Instigating or promoting cruelty to animals,1
§ 14-361.1,Abandonment of animals,2
§ 14-362,Cockfighting,I
§ 14-362.1(a),"Animal fights and baiting, other than cock fights, dog fights and dog baiting (exhibiting a fight other than dogs and roosters)",2
§ 14-362.1(b),"Animal fights and baiting, other than cock fights, dog fights and dog baiting (owners of animals other than dogs and roosters)",2
§ 14-362.1(c),"Animal fights and baiting, other than cock fights, dog fights and dog baiting (event participant)",2
§ 14-362.1(d),"Animal fights and baiting, other than cock fights, dog fights and dog baiting (reoffender under section a within 3 years of prior)",I
§ 14-362.2(a),Dog fighting and baiting (exhibiting a dog fight),H
§ 14-362.2(b),Dog fighting and baiting (owners of fighting dogs),H
§ 14-362.2(c),Dog fighting and baiting (participant or spectator),H
§ 14-362.3,Restraining dogs in a cruel manner,1
§ 14-363,Conveying animals in a cruel manner,1
§ 14-363.1,"Living baby chicks or other fowl, or rabbits under eight weeks of age; disposing of as pets or novelties forbidden",3
§ 14-366,Molesting or injuring livestock,2
§ 14-367,Altering the brands of and misbranding another's livestock,H
§ 14-368,Placing poisonous shrubs and vegetables in public places,2
§ 14-370,Wrongfully obtaining or divulging knowledge of telephonic messages,2
§ 14-371,Violating privacy of telegraphic messages; failure to transmit and deliver same promptly,2
§ 14-372,"Unauthorized opening, reading or publishing of sealed letters and telegrams.",2
§ 14-373,"Bribery of players, managers, coaches, referees, umpires or officials",I
§ 14-374,"Acceptance of bribes by players, managers, coaches, referees, umpires or officials",I
§ 14-377,Intentional losing of athletic contest or limiting margin of victory or defeat,I
§ 14-380.1,Bribery of horse show judges or officials,2
§ 14-380.2,Bribery attempts to be reported.,2
§ 14-381,Desecration of State and United States flag,2
§ 14-382,Pollution of water on lands used for dairy purposes,3
§ 14-383,Cutting timber on town watershed without disposing of boughs and debris; misdemeanor,2
§ 14-384,Injuring notices and advertisements,3
§ 14-385,Defacing or destroying public notices and advertisements,3
§ 14-391,Usurious loans on household and kitchen furniture or assignment of wages.,1
§ 14-394,"Anonymous or threatening letters, mailing or transmitting.",1
§ 14-395,Commercialization of American Legion emblem; wearing by nonmembers.,3
§ 14-395.1,Sexual harassment (by landlord),2
§ 14-398,"Theft or destruction of property of public libraries, museums, etc (up to $50 damage)",1
§ 14-398,"Theft or destruction of property of public libraries, museums, etc (over $50 damage)",H
§ 14-399(c),Littering (under 15 lbs and not for commercial purposes),3
§ 14-399(d),Littering (over 15 and under 500 lbs and not for commercial purpose—3 with higher fines and comm service),3
§ 14-399(e),Littering (either over 500 lbs or any amount for commercial purposes),I
§ 14-399.2,Certain plastic yoke and ring type holding devices prohibited.,3
§ 14-400(a),Tattooing; body piercing prohibited. (Tattoo a person under 18) ,2
§ 14-400(b),Tattooing; body piercing prohibited. (Piercing  a person under 18 without parental consent) ,2
§ 14-401,"Putting poisonous foodstuffs, antifreeze, etc., in certain public places, prohibited",1
§ 14-401.1,Misdemeanor to tamper with examination questions.,2
§ 14-401.2 ,"Misdemeanor for detective to collect claims, accounts, etc.",2
§ 14-401.3 ,Inscription on gravestone or monument charging commission of crime.,2
§ 14-401.4,Identifying marks on machines and apparatus; application to Division of Motor Vehicles for numbers.,1
§ 14-401.6,"Unlawful to possess, etc., tear gas except for certain purposes.",2
§ 14-401.7,"Persons, firms, banks and corporations dealing in securities on commission taxed as a private banker.",3
§ 14-401.9,Parking vehicle in private parking space without permission.,3
§ 14-401.10,Soliciting advertisements for official publications of law-enforcement officers' associations.,2
§ 14-401.11(a)(1),Distribution of certain food at Halloween and all other times prohibited (noxious/deleterious substance able to cause mild discomfort),I
§ 14-401.11(a)(1),Distribution of certain food at Halloween and all other times prohibited (noxious/deleterious substance — worse than mild discomfort),F
§ 14-401.11(a)(2),Distribution of certain food at Halloween and all other times prohibited (controlled substances),F
§ 14-401.11(a)(3),Distribution of certain food at Halloween and all other times prohibited (items to cause serious physical pain/discomfort),C
§ 14-401.12,Soliciting charitable contributions by telephone,1
§ 14-401.13,Failure to give right to cancel in off-premises sales,3
§ 14-401.14. ,Ethnic intimidation; teaching any technique to be used for ethnic intimidation.,1
§ 14-401.15,Telephone sales recovery services.,1
§ 14-401.15,Telephone sales recovery services (violation with money or other consideration collected,H
§ 14-401.16,Contaminate food or drink to render one mentally incapacitated or physically helpless.,H
§ 14-401.16,Contaminate food or drink to render one mentally incapacitated or physically helpless (with intent to commit certain sex crimes),G
§ 14-401.17,Unlawful removal or destruction of electronic dog collars (first offense),3
§ 14-401.17,Unlawful removal or destruction of electronic dog collars (subsequent to first offense),2
§ 14-401.18,Sale of certain packages of cigarettes prohibited.,A1
§ 14-401.18A,Sale of certain e-liquid containers prohibited.,A1
§ 14-401.19,Filing false security agreements.,A1
§ 14-401.20,Defrauding drug and alcohol screening tests (first offense),1
§ 14-401.20,Defrauding drug and alcohol screening tests (subsequent to first offense),I
§ 14-401.21,"Practicing ""rebirthing technique” (first offense)",A1
§ 14-401.21,"Practicing ""rebirthing technique” (first offense)",I
§ 14-401.22(a),Concealment of death; disturbing human remains; dismembering human remains (secret burial/disposal without notifying authorities),I
§ 14-401.22(a1),Concealment of death; disturbing human remains; dismembering human remains (secret burial/disposal of child),H
§ 14-401.22(b),"Concealment of death; disturbing human remains; dismembering human remains (aids, counsels, or abets)",A1
§ 14-401.22(c),Concealment of death; disturbing human remains; dismembering human remains (vandalize/desecrate remains),I
§ 14-401.22(d),Concealment of death; disturbing human remains; dismembering human remains (modify corpse to prevent ID),H
§ 14-401.22(e),Concealment of death; disturbing human remains; dismembering human remains (knowing death not natural causes),D
§ 14-401.23,"Unlawful manufacture, sale, delivery, or possession of Salvia divinorum (third or subsequent offense)",3
§ 14-401.24(a),Unlawful possession and use of unmanned aircraft systems (with weapon attached),E
§ 14-401.24(b),Unlawful possession and use of unmanned aircraft systems (for fishing or hunting),1
§ 14-401.25,Unlawful distribution of images (thermal images by unmanned aircraft),A1
§ 14-401.27,Impersonation of a transportation network company driver (impersonating TNC driver during other felony),H
§ 14-401.27,Impersonation of a transportation network company driver (other than during a felony),2
§ 14-402,Sale of certain weapons without permit forbidden.,2
§ 14-404(h)(5),Issuance or refusal of permit; appeal from refusal; grounds for refusal; sheriff's fee. (Refusal to surrender permit),2
§ 14-406,Dealer to keep record of sales; confidentiality of records,2
§ 14-408.1,Solicit unlawful purchase of firearm; unlawful to provide materially false information regarding legality of firearm or ammunition transfer.,F
§ 14-409,Machine guns and other like weapons.,I
§ 14-410,"Manufacture, sale and use of pyrotechnics prohibited (outdoors)",2
§ 14-410,"Manufacture, sale and use of pyrotechnics prohibited (indoors)",1
§ 14-413,Permits for use at public exhibitions (outdoors),2
§ 14-413,Permits for use at public exhibitions (indoors),2
§ 14-415.1(a),"Possession of firearms, etc., by felon prohibited.",G
§ 14-415.3,Possession of a firearm or WMD by … insane persons and persons without capacity to stand trial,H
§ 14-415.4,Restoration of firearms rights (false info),1
§ 14-415.21(a),Violations of (Concealed Handgun Article) punishable as an infraction.,Infraction
§ 14-415.21(a1),Violations of (Concealed Handgun Article) punishable as an infraction. (Carry in prohibited areas),1
§ 14-415.21(b),Violations of (Concealed Handgun Article) punishable as an infraction. (Other violations of concealed handgun process/rules),2
§ 14-415.26,Certification of qualified retired law enforcement officers. (Intentional misrepresentation on applications),2
§ 14-416,Mishandling of certain reptiles declared public nuisance and criminal offense.,2
§ 14-416,Mishandling of certain reptiles declared public nuisance and criminal offense. (Member of public harmed),A1
§ 14-416,Mishandling of certain reptiles declared public nuisance and criminal offense. (Non-nativte animal released in wild),A1
§ 14-417,Regulation of ownership or use of venomous reptiles.,2
§ 14-417,Regulation of ownership or use of venomous reptiles. (Member of public harmed),A1
§ 14-417,Regulation of ownership or use of venomous reptiles. (Non-nativte animal released in wild),A1
§ 14-417.1,Regulation of ownership or use of large constricting snakes.,2
§ 14-417.1,Regulation of ownership or use of large constricting snakes. (Member of public harmed),A1
§ 14-417.1,Regulation of ownership or use of large constricting snakes. (Non-nativte animal released in wild),A1
§ 14-417.2,Regulation of ownership or use of crocodilians.,2
§ 14-417.2,Regulation of ownership or use of crocodilians. (Member of public harmed),A1
§ 14-417.2,Regulation of ownership or use of crocodilians. (Non-nativte animal released in wild),A1
§ 14-418,Prohibited handling of reptiles or suggesting or inducing others to handle.,2
§ 14-418,Prohibited handling of reptiles or suggesting or inducing others to handle. (Member of public harmed),A1
§ 14-418,Prohibited handling of reptiles or suggesting or inducing others to handle. (Non-nativte animal released in wild),A1
§ 14-424,"Engaging, etc., in business of debt adjusting a misdemeanor.",2
§ 14-433,"Recording of live performances or recorded sounds and distribution, etc., of such recordings unlawful in certain circumstances.",1
§ 14-433,"Recording of live performances or recorded sounds and distribution, etc. (100 times in 180 days)",I
§ 14-434,"Retailing, etc., of certain recorded devices unlawful.",1
§ 14-434,"Retailing, etc., of certain recorded devices unlawful. (100 times in 180 days)",I
§ 14-435,Recorded devices to show true name and address of manufacturer.,1
§ 14-435,Recorded devices to show true name and address of manufacturer. (100 times in 180 days),I
§ 14-440.1,Unlawful operation of an audiovisual recording device. (One still image),1
§ 14-440.1,Unlawful operation of an audiovisual recording device. (Moving images in theater),I
§ 14-444,Intoxicated and disruptive in public.,3
§ 14-454,Accessing computers.,1
§ 14-454,"Accessing computers. (Fraud of over $1,000)",G
§ 14-454.1,Accessing government computers. (Accessing for fraud),F
§ 14-454.1,Accessing government computers. (accessing not for fraud—other purposes),H
§ 14-454.1,Accessing government computers. (Allowing grades to be seen),1
§ 14-455,"Damaging computers, etc … (at or under $1,000 damages)",1
§ 14-455,"Damaging computers, etc … (excess of $1,000 damages)",G
§ 14-455,"Damaging computers, etc … (belonging to government)",F
§ 14-456,Denial of computer services to an authorized user.,1
§ 14-456.1,Denial of government computer services to an authorized user.,H
§ 14-457,Extortion,H
§ 14-458,Computer trespass; penalty.,3
§ 14-458,"Computer trespass; penalty (with damages at or under $2,500)",1
§ 14-458,"Computer trespass; penalty (with damages over $2,500)",I
§ 14-458.1,Cyber-bullying (defendant 18 or older),1
§ 14-458.1,Cyber-bullying (defendant under 18),2
§ 14-458.2,Cyber-bullying of school employee by student,2
§ 14-460,Riding on train unlawfully.,3
§ 14-461,Unauthorized manufacture or sale of switch-lock keys a misdemeanor.,1
